0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.44
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.46
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.48
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.52
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.54
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.56
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.58
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.62
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.64
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.66
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.68
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.72
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.74
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.76
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.78
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.82
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.84
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.86
