0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.62
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.64
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.66
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.67
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.69
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.72
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.74
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.76
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.78
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.79
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.81
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.82
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.84
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.86
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.87
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.89
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.91
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.92
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.94
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.96
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.98
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.99
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.01
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.03
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.04
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.07
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.08
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.12
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.13
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.15
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.17
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.19
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.21
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.22
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.24
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.26
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.27
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.29
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.31
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.32
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.34
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.36
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.37
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.39
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.41
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.42
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.44
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.45
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.47
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.49
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.52
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.53
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.55
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.57
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.58
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.62
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.63
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.65
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.67
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.68
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.71
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.73
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.75
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.76
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.78
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.81
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.83
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.85
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.86
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.88
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.91
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.93
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.94
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.96
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.98
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.99
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.01
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.02
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.04
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.06
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.07
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.09
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.12
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.14
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.16
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.17
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.19
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.22
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.24
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.25
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.27
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.29
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.31
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.32
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.34
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.36
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.37
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.39
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.41
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.42
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.44
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.46
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.48
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89
