0.0,0.0,0.0,0.0,1.0,0.04
0.0,0.0,0.0,0.0,1.0,0.08
0.0,0.0,0.0,0.0,1.0,0.11
0.0,0.0,0.0,0.0,1.0,0.13
0.0,0.0,0.0,0.0,1.0,0.14
0.0,0.0,0.0,0.0,1.0,0.16
0.0,0.0,0.0,0.0,1.0,0.18
0.0,0.0,0.0,0.0,1.0,0.2
0.0,0.0,0.0,0.0,1.0,0.22
0.0,0.0,0.0,0.0,1.0,0.24
0.0,0.0,0.0,0.0,1.0,0.25
0.0,0.0,0.0,0.0,1.0,0.27
0.0,0.0,0.0,0.0,1.0,0.29
0.0,0.0,0.0,0.0,1.0,0.3
0.0,0.0,0.0,0.0,1.0,0.32
0.0,0.0,0.0,0.0,1.0,0.34
0.0,0.0,0.0,0.0,1.0,0.36
0.0,0.0,0.0,0.0,1.0,0.37
0.0,0.0,0.0,0.0,1.0,0.39
0.0,0.0,0.0,0.0,1.0,0.41
0.0,0.0,0.0,0.0,1.0,0.42
0.0,0.0,0.0,0.0,1.0,0.44
0.0,0.0,0.0,0.0,1.0,0.46
0.0,0.0,0.0,0.0,1.0,0.47
0.0,0.0,0.0,0.0,1.0,0.49
0.0,0.0,0.0,0.0,1.0,0.51
0.0,0.0,0.0,0.0,1.0,0.53
0.0,0.0,0.0,0.0,1.0,0.55
0.0,0.0,0.0,0.0,1.0,0.57
0.0,0.0,0.0,0.0,1.0,0.59
0.0,0.0,0.0,0.0,1.0,0.61
0.0,0.0,0.0,0.0,1.0,0.63
0.0,0.0,0.0,0.0,1.0,0.65
0.0,0.0,0.0,0.0,1.0,0.67
0.0,0.0,0.0,0.0,1.0,0.69
0.0,0.0,0.0,0.0,1.0,0.7
0.0,0.0,0.0,0.0,1.0,0.72
0.0,0.0,0.0,0.0,1.0,0.74
0.0,0.0,0.0,0.0,1.0,0.76
0.0,0.0,0.0,0.0,1.0,0.77
0.0,0.0,0.0,0.0,1.0,0.79
0.0,0.0,0.0,0.0,1.0,0.81
0.0,0.0,0.0,0.0,1.0,0.83
0.0,0.0,0.0,0.0,1.0,0.84
0.0,0.0,0.0,0.0,1.0,0.86
0.0,0.0,0.0,0.0,1.0,0.88
0.0,0.0,0.0,0.0,1.0,0.89
0.0,0.0,0.0,0.0,1.0,0.91
0.0,0.0,0.0,0.0,1.0,0.93
0.0,0.0,0.0,0.0,1.0,0.96
0.0,0.0,0.0,0.0,1.0,0.97
0.0,0.0,0.0,0.0,1.0,0.99
0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,1.0,1.02
0.0,0.0,0.0,0.0,1.0,1.04
0.0,0.0,0.0,0.0,1.0,1.06
0.0,0.0,0.0,0.0,1.0,1.07
0.0,0.0,0.0,0.0,1.0,1.09
0.0,0.0,0.0,0.0,1.0,1.11
0.0,0.0,0.0,0.0,1.0,1.12
0.0,0.0,0.0,0.0,1.0,1.14
0.0,0.0,0.0,0.0,1.0,1.16
0.0,0.0,0.0,0.0,1.0,1.18
0.0,0.0,0.0,0.0,1.0,1.19
0.0,0.0,0.0,0.0,1.0,1.21
0.0,0.0,0.0,0.0,1.0,1.23
0.0,0.0,0.0,0.0,1.0,1.24
0.0,0.0,0.0,0.0,1.0,1.26
0.0,0.0,0.0,0.0,1.0,1.28
0.0,0.0,0.0,0.0,1.0,1.29
0.0,0.0,0.0,0.0,1.0,1.31
0.0,0.0,0.0,0.0,1.0,1.32
0.0,0.0,0.0,0.0,1.0,1.34
0.0,0.0,0.0,0.0,1.0,1.36
0.0,0.0,0.0,0.0,1.0,1.37
0.0,0.0,0.0,0.0,1.0,1.39
0.0,0.0,0.0,0.0,1.0,1.41
0.0,0.0,0.0,0.0,1.0,1.43
0.0,0.0,0.0,0.0,1.0,1.45
0.0,0.0,0.0,0.0,1.0,1.47
0.0,0.0,0.0,0.0,1.0,1.49
0.0,0.0,0.0,0.0,1.0,1.51
0.0,0.0,0.0,0.0,1.0,1.53
0.0,0.0,0.0,0.0,1.0,1.55
0.0,0.0,0.0,0.0,1.0,1.57
0.0,0.0,0.0,0.0,1.0,1.59
0.0,0.0,0.0,0.0,1.0,1.6
0.0,0.0,0.0,0.0,1.0,1.62
0.0,0.0,0.0,0.0,1.0,1.64
0.0,0.0,0.0,0.0,1.0,1.66
0.0,0.0,0.0,0.0,1.0,1.67
0.0,0.0,0.0,0.0,1.0,1.69
0.0,0.0,0.0,0.0,1.0,1.7
0.0,0.0,0.0,0.0,1.0,1.73
0.0,0.0,0.0,0.0,1.0,1.75
0.0,0.0,0.0,0.0,1.0,1.76
0.0,0.0,0.0,0.0,1.0,1.78
0.0,0.0,0.0,0.0,1.0,1.81
0.0,0.0,0.0,0.0,1.0,1.82
0.0,0.0,0.0,0.0,1.0,1.84
0.0,0.0,0.0,0.0,1.0,1.86
0.0,0.0,0.0,0.0,1.0,1.87
0.0,0.0,0.0,0.0,1.0,1.89
0.0,0.0,0.0,0.0,1.0,1.91
0.0,0.0,0.0,0.0,1.0,1.92
0.0,0.0,0.0,0.0,1.0,1.94
0.0,0.0,0.0,0.0,1.0,1.95
0.0,0.0,0.0,0.0,1.0,1.97
0.0,0.0,0.0,0.0,1.0,1.99
0.0,0.0,0.0,0.0,1.0,2.01
0.0,0.0,0.0,0.0,1.0,2.02
0.0,0.0,0.0,0.0,1.0,2.04
0.0,0.0,0.0,0.0,1.0,2.06
0.0,0.0,0.0,0.0,1.0,2.07
0.0,0.0,0.0,0.0,1.0,2.09
0.0,0.0,0.0,0.0,1.0,2.11
0.0,0.0,0.0,0.0,1.0,2.12
0.0,0.0,0.0,0.0,1.0,2.14
0.0,0.0,0.0,0.0,1.0,2.16
0.0,0.0,0.0,0.0,1.0,2.17
0.0,0.0,0.0,0.0,1.0,2.19
0.0,0.0,0.0,0.0,1.0,2.2
0.0,0.0,0.0,0.0,1.0,2.22
0.0,0.0,0.0,0.0,1.0,2.24
0.0,0.0,0.0,0.0,1.0,2.26
0.0,0.0,0.0,0.0,1.0,2.27
0.0,0.0,0.0,0.0,1.0,2.29
0.0,0.0,0.0,0.0,1.0,2.31
0.0,0.0,0.0,0.0,1.0,2.33
0.0,0.0,0.0,0.0,1.0,2.34
0.0,0.0,0.0,0.0,1.0,2.36
0.0,0.0,0.0,0.0,1.0,2.38
