0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.34
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.44
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.52
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.54
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.56
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.57
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.59
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.61
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.63
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.64
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.66
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.69
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.71
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.73
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.76
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.78
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.82
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.84
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.86
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.87
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.89
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.91
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.93
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.94
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.03
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.04
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.06
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.08
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.12
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.13
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.15
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.17
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.19
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.21
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.22
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.26
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.28
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.29
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.31
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.35
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.36
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.38
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.42
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.43
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.45
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.47
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.48
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.52
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.53
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.55
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.57
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.59
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.62
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.64
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.65
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.69
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.72
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.74
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.76
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.77
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.79
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.81
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.82
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.84
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.86
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.87
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.89
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.91
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.93
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.94
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.96
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.98
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.02
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.04
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.05
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.07
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.09
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.11
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.12
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.14
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.15
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.17
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.19
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.21
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.23
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.24
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.26
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.28
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.31
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.35
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.37
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.39
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.42
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.44
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.45
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.47
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.49
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.53
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.55
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.56
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.58
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.59
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.61
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.63
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.64
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.66
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.68
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.69
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.71
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.73
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.74
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.76
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.78
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.79
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
