0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.32
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.34
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.36
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.39
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.41
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.47
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.52
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.54
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.56
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.58
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.62
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.65
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.69
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.71
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.73
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.76
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.78
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.82
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.84
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.86
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.88
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.93
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.95
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.97
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.99
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.01
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.03
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.05
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.08
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.12
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.14
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.17
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.19
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.21
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.23
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.25
