0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.66
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.72
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.74
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.82
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.86
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.91
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.93
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.11
